instance,ants,iterations,alpha,beta,rho,q,stall,seed,best_value,total_weight,elapsed_ms
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,80,42,9989474305,9989473965,476
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,120,2026,9989474305,9989473965,479
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,50,2026,9989474305,9989473965,502
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,50,2026,9989474305,9989473965,501
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,120,42,9989474305,9989473965,511
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,120,123,9989474305,9989473965,538
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,120,2026,9989474305,9989473965,545
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,80,42,9989474305,9989473965,546
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,50,2026,9989474305,9989473965,551
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,50,42,9989474305,9989473965,552
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,50,123,9989474305,9989473965,553
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,80,2026,9989474305,9989473965,561
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,50,42,9989474305,9989473965,569
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,80,2026,9989474305,9989473965,568
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,50,42,9989474305,9989473965,586
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,80,123,9989474305,9989473965,593
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,50,42,9989474305,9989473965,597
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,80,123,9989474305,9989473965,598
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,120,42,9989474305,9989473965,598
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,50,123,9989474305,9989473965,596
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,80,123,9989474305,9989473965,610
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,50,123,9989474305,9989473965,621
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,50,123,9989474305,9989473965,624
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,120,123,9989474305,9989473965,631
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,80,123,9989474305,9989473965,632
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,2.0000,80,42,9989474305,9989473965,636
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,120,2026,9989474305,9989473965,680
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,50,2026,9989474305,9989473965,687
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,80,42,9989474305,9989473965,687
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,80,2026,9989474305,9989473965,693
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,120,42,9989474305,9989473965,694
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,1.0000,80,2026,9989474305,9989473965,703
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,120,42,9989474305,9989473965,708
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,120,123,9989474305,9989473965,708
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,80,2026,9989474305,9989473965,709
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,120,123,9989474305,9989473965,708
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,50,123,9989474305,9989473965,720
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,120,42,9989474305,9989473965,741
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,80,42,9989474305,9989473965,748
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,80,123,9989474305,9989473965,748
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,80,42,9989474305,9989473965,758
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,80,123,9989474305,9989473965,785
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,50,2026,9989474305,9989473965,813
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,50,42,9989474305,9989473965,829
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,120,2026,9989474305,9989473965,843
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,120,123,9989474305,9989473965,358
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,50,123,9989474305,9989473965,880
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,120,42,9989474305,9989473965,411
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,50,42,9989474305,9989473965,904
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,1.0000,120,123,9989474305,9989473965,915
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,120,42,9989474305,9989473965,405
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,0.5000,120,2026,9989474305,9989473965,960
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.1000,0.5000,50,2026,9989474305,9989473965,964
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,80,2026,9989474305,9989473965,488
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,50,2026,9989474305,9989473965,430
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,120,42,9989474305,9989473965,380
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,50,42,9989474305,9989473965,477
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,50,42,9989474305,9989473965,425
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,120,2026,9989474305,9989473965,444
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,80,123,9989474305,9989473965,418
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.2000,2.0000,120,2026,9989474305,9989473965,514
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,50,123,9989474305,9989473965,485
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,80,42,9989474305,9989473965,427
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,80,2026,9989474305,9989473965,449
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,120,123,9989474305,9989473965,528
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,50,42,9989474305,9989473965,466
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,50,2026,9989474305,9989473965,463
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,50,2026,9989474305,9989473965,506
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,80,42,9989474305,9989473965,467
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,80,2026,9989474305,9989473965,564
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,80,123,9989474305,9989473965,573
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,0.5000,80,42,9989474305,9989473965,584
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,50,123,9989474305,9989473965,562
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,80,123,9989474305,9989473965,516
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,50,123,9989474305,9989473965,569
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,120,42,9989474305,9989473965,509
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,120,123,9989474305,9989473965,526
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,120,2026,9989474305,9989473965,558
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,120,2026,9989474305,9989473965,638
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,0.5000,50,42,9989474305,9989473965,603
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,1.0000,50,123,9989474305,9989473965,543
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,1.0000,80,42,9989474305,9989473965,499
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,1.0000,120,123,9989474305,9989473965,727
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,1.0000,50,2026,9989474305,9989473965,548
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,1.0000,120,123,9989474305,9989473965,479
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,1.0000,80,2026,9989474305,9989473965,539
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,1.0000,50,42,9989474305,9989473965,647
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,0.5000,120,2026,9989474305,9989473965,659
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,0.5000,120,42,9989474305,9989473965,676
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,0.5000,50,2026,9989474305,9989473965,722
docs\inst_test\instancias\n_1000_1,20,200,0.8000,2.0000,0.3000,2.0000,80,2026,9989474305,9989473965,758
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,0.5000,80,42,9989474305,9989473965,747
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,0.5000,80,2026,9989474305,9989473965,735
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,0.5000,80,123,9989474305,9989473965,752
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,50,42,9989474305,9989473965,449
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,2.0000,80,2026,9989474305,9989473965,509
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,80,42,9989474305,9989473965,463
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,2.0000,80,123,9989474305,9989473965,528
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,80,123,9989474305,9989473965,491
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,2.0000,50,123,9989474305,9989473965,558
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,2.0000,120,42,9989474305,9989473965,541
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,0.5000,120,123,9989474305,9989473965,772
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,2.0000,120,123,9989474305,9989473965,543
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,2.0000,50,2026,9989474305,9989473965,584
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,120,42,9989474305,9989473965,465
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,0.5000,50,123,9989474305,9989473965,876
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,2.0000,120,2026,9989474305,9989473965,588
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,2.0000,50,42,9989474305,9989473965,669
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,50,123,9989474305,9989473965,575
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,120,2026,9989474305,9989473965,495
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,1.0000,80,123,9989474305,9989473965,752
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,50,2026,9989474305,9989473965,581
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,50,42,9989474305,9989473965,526
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,50,2026,9989474305,9989473965,517
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,50,123,9989474305,9989473965,551
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,2.0000,50,2026,9989474305,9989473965,413
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,120,42,9989474305,9989473965,475
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,0.5000,80,2026,9989474305,9989473965,702
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.1000,1.0000,120,42,9989474305,9989473965,885
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,80,42,9989474305,9989473965,649
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,80,2026,9989474305,9989473965,641
docs\inst_test\instancias\n_1000_1,20,200,0.8000,3.0000,0.2000,1.0000,80,123,9989474305,9989473965,666
