instance,optimal_value,best_value,gap_percent,total_weight,best_configuration,stop_generation,elapsed_time
n_1000_1,9999946233,9999827097,0.001191,9999821320,pop=50 gen=500 cRate=0.85 mRate=0.005 elite=3 tourn=3 seed=42,500,0.4364
n_1000_2,9999964987,9999857382,0.001076,9999839689,pop=50 gen=500 cRate=0.85 mRate=0.005 elite=3 tourn=3 seed=42,500,0.4282
n_1000_3,9999229281,9999228930,0.000004,9999225789,pop=50 gen=500 cRate=0.85 mRate=0.005 elite=3 tourn=3 seed=42,500,0.3967
n_1000_4,9999239905,9999239620,0.000003,9999231933,pop=50 gen=500 cRate=0.85 mRate=0.005 elite=3 tourn=3 seed=42,500,0.4089
n_1000_5,9999251796,9999251390,0.000004,9999240852,pop=50 gen=500 cRate=0.85 mRate=0.005 elite=3 tourn=3 seed=42,500,0.4070
n_1000_6,9996100344,9996100334,0.000000,9996099858,pop=50 gen=500 cRate=0.85 mRate=0.005 elite=3 tourn=3 seed=42,313,0.2480
n_1000_7,9996105266,9996105192,0.000001,9996103187,pop=50 gen=500 cRate=0.85 mRate=0.005 elite=3 tourn=3 seed=42,224,0.1779
n_1000_8,9996111502,9996111467,0.000000,9996109595,pop=50 gen=500 cRate=0.85 mRate=0.005 elite=3 tourn=3 seed=42,398,0.3161
n_1000_9,9980488131,9980486289,0.000018,9980480202,pop=50 gen=500 cRate=0.85 mRate=0.005 elite=3 tourn=3 seed=42,500,0.3943
n_1000_10,9980507700,9980504089,0.000036,9980490693,pop=50 gen=500 cRate=0.85 mRate=0.005 elite=3 tourn=3 seed=42,210,0.1680
