instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,4,9992827053,9992822527,128
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,12,9999827461,9999822909,130
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.2000,202,9994827117,9994822716,130
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,12,9990356462,9990352483,133
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,202,9992297061,9992292379,134
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,4,9995297223,9995292560,135
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,4,9994827139,9994822678,138
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.1000,12,9996297291,9996292580,140
docs\inst_test\instancias\n_1000_1,100,10,7,5,0.3000,202,9999887011,9999883425,29
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,4,9992827022,9992822537,47
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,12,9993297100,9993292455,52
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,202,9994827117,9994822716,47
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,4,9995296915,9995292252,56
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.1000,202,9991296961,9991292372,55
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.2000,12,9999827461,9999822909,54
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,4,9994827139,9994822678,51
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,12,9989826789,9989822344,44
docs\inst_test\instancias\n_1000_1,100,10,7,10,0.3000,202,9999886847,9999883349,25
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,4,9994297160,9994292499,27
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,12,9999827461,9999822909,24
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,12,9993297100,9993292455,29
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,4,9989296870,9989292248,28
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.2000,202,9994827117,9994822716,27
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.1000,202,9991296961,9991292372,41
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,4,9994827139,9994822678,28
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,202,9999357275,9999353107,22
docs\inst_test\instancias\n_1000_1,100,10,7,20,0.3000,12,9989826789,9989822344,29
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,202,9992297061,9992292379,36
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,4,9995297223,9995292560,43
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.1000,12,9996297291,9996292580,44
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,4,9992827053,9992822527,40
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.2000,202,9994827117,9994822716,32
docs\inst_test\instancias\n_1000_1,100,10,10,5,0.3000,12,9990356462,9990352483,28
