instance,iterations,tenure_flip,tenure_swap,stall,diversify,seed,best_value,total_weight,elapsed_ms
docs/inst_test/instancias/n_1000_1,100,10,7,5,0.3000,4,9994827139,9994822678,137
docs/inst_test/instancias/n_1000_1,100,10,7,5,0.1000,202,9992297061,9992292379,143
docs/inst_test/instancias/n_1000_1,100,10,7,5,0.2000,12,9999827461,9999822909,146
docs/inst_test/instancias/n_1000_1,100,10,7,5,0.2000,202,9994827117,9994822716,147
docs/inst_test/instancias/n_1000_1,100,10,7,5,0.1000,4,9995297223,9995292560,151
docs/inst_test/instancias/n_1000_1,100,10,7,5,0.2000,4,9992827053,9992822527,157
docs/inst_test/instancias/n_1000_1,100,10,7,5,0.3000,12,9990356462,9990352483,160
docs/inst_test/instancias/n_1000_1,100,10,7,5,0.1000,12,9996297291,9996292580,163
docs/inst_test/instancias/n_1000_1,100,10,7,10,0.1000,12,9993297100,9993292455,26
docs/inst_test/instancias/n_1000_1,100,10,7,10,0.1000,202,9991296961,9991292372,32
docs/inst_test/instancias/n_1000_1,100,10,7,10,0.3000,4,9994827139,9994822678,21
docs/inst_test/instancias/n_1000_1,100,10,7,5,0.3000,202,9999887011,9999883425,69
docs/inst_test/instancias/n_1000_1,100,10,7,10,0.2000,202,9994827117,9994822716,56
docs/inst_test/instancias/n_1000_1,100,10,7,10,0.2000,4,9992827022,9992822537,73
docs/inst_test/instancias/n_1000_1,100,10,7,10,0.1000,4,9995296915,9995292252,84
docs/inst_test/instancias/n_1000_1,100,10,7,10,0.2000,12,9999827461,9999822909,73
docs/inst_test/instancias/n_1000_1,100,10,7,10,0.3000,12,9989826789,9989822344,66
docs/inst_test/instancias/n_1000_1,100,10,7,20,0.2000,202,9994827117,9994822716,25
docs/inst_test/instancias/n_1000_1,100,10,7,10,0.3000,202,9999886847,9999883349,86
docs/inst_test/instancias/n_1000_1,100,10,7,20,0.1000,12,9993297100,9993292455,66
docs/inst_test/instancias/n_1000_1,100,10,7,20,0.1000,4,9994297160,9994292499,94
docs/inst_test/instancias/n_1000_1,100,10,7,20,0.1000,202,9991296961,9991292372,63
docs/inst_test/instancias/n_1000_1,100,10,7,20,0.2000,12,9999827461,9999822909,55
docs/inst_test/instancias/n_1000_1,100,10,7,20,0.2000,4,9989296870,9989292248,74
docs/inst_test/instancias/n_1000_1,100,10,7,20,0.3000,4,9994827139,9994822678,61
docs/inst_test/instancias/n_1000_1,100,10,7,20,0.3000,202,9999357275,9999353107,50
docs/inst_test/instancias/n_1000_1,100,10,7,20,0.3000,12,9989826789,9989822344,61
docs/inst_test/instancias/n_1000_1,100,10,10,5,0.1000,12,9996297291,9996292580,44
docs/inst_test/instancias/n_1000_1,100,10,10,5,0.1000,4,9995297223,9995292560,50
docs/inst_test/instancias/n_1000_1,100,10,10,5,0.2000,4,9992827053,9992822527,49
docs/inst_test/instancias/n_1000_1,100,10,10,5,0.1000,202,9992297061,9992292379,58
docs/inst_test/instancias/n_1000_1,100,10,10,5,0.2000,202,9994827117,9994822716,42
docs/inst_test/instancias/n_1000_1,100,10,10,5,0.3000,12,9990356462,9990352483,35
docs/inst_test/instancias/n_1000_1,100,10,10,5,0.2000,12,9999827461,9999822909,53
docs/inst_test/instancias/n_1000_1,100,10,10,5,0.3000,4,9994827139,9994822678,38
docs/inst_test/instancias/n_1000_1,100,10,10,5,0.3000,202,9999887011,9999883425,39
docs/inst_test/instancias/n_1000_1,100,10,10,10,0.1000,4,9995296915,9995292252,46
docs/inst_test/instancias/n_1000_1,100,10,10,10,0.1000,12,9993297100,9993292455,47
docs/inst_test/instancias/n_1000_1,100,10,10,10,0.1000,202,9991296961,9991292372,41
docs/inst_test/instancias/n_1000_1,100,10,10,10,0.2000,12,9999827461,9999822909,29
docs/inst_test/instancias/n_1000_1,100,10,10,10,0.2000,4,9992827022,9992822537,44
docs/inst_test/instancias/n_1000_1,100,10,10,10,0.2000,202,9994827117,9994822716,40
docs/inst_test/instancias/n_1000_1,100,10,10,10,0.3000,12,9989826789,9989822344,29
docs/inst_test/instancias/n_1000_1,100,10,10,10,0.3000,4,9994827139,9994822678,41
docs/inst_test/instancias/n_1000_1,100,10,10,20,0.1000,12,9993297100,9993292455,34
docs/inst_test/instancias/n_1000_1,100,10,10,20,0.1000,4,9994297160,9994292499,34
docs/inst_test/instancias/n_1000_1,100,10,10,20,0.2000,4,9989296870,9989292248,26
docs/inst_test/instancias/n_1000_1,100,10,10,20,0.2000,12,9999827461,9999822909,21
docs/inst_test/instancias/n_1000_1,100,10,10,10,0.3000,202,9999886847,9999883349,43
docs/inst_test/instancias/n_1000_1,100,10,10,20,0.1000,202,9991296961,9991292372,42
docs/inst_test/instancias/n_1000_1,100,10,10,20,0.3000,202,9999357275,9999353107,21
docs/inst_test/instancias/n_1000_1,100,10,10,20,0.2000,202,9994827117,9994822716,43
docs/inst_test/instancias/n_1000_1,100,10,10,20,0.3000,4,9994827139,9994822678,43
docs/inst_test/instancias/n_1000_1,100,10,15,5,0.1000,202,9992297061,9992292379,32
docs/inst_test/instancias/n_1000_1,100,10,10,20,0.3000,12,9989826789,9989822344,44
docs/inst_test/instancias/n_1000_1,100,10,15,5,0.2000,4,9992827053,9992822527,34
docs/inst_test/instancias/n_1000_1,100,10,15,5,0.1000,12,9996297291,9996292580,48
docs/inst_test/instancias/n_1000_1,100,10,15,5,0.1000,4,9995297223,9995292560,52
docs/inst_test/instancias/n_1000_1,100,10,15,5,0.3000,4,9994827139,9994822678,38
docs/inst_test/instancias/n_1000_1,100,10,15,5,0.2000,202,9994827117,9994822716,47
docs/inst_test/instancias/n_1000_1,100,10,15,5,0.2000,12,9999827461,9999822909,53
docs/inst_test/instancias/n_1000_1,100,10,15,5,0.3000,12,9990356462,9990352483,47
docs/inst_test/instancias/n_1000_1,100,10,15,5,0.3000,202,9999887011,9999883425,41
docs/inst_test/instancias/n_1000_1,100,10,15,10,0.1000,12,9993297100,9993292455,40
docs/inst_test/instancias/n_1000_1,100,10,15,10,0.2000,4,9992827022,9992822537,29
docs/inst_test/instancias/n_1000_1,100,10,15,10,0.1000,4,9995296915,9995292252,49
docs/inst_test/instancias/n_1000_1,100,10,15,10,0.1000,202,9991296961,9991292372,46
docs/inst_test/instancias/n_1000_1,100,10,15,10,0.2000,12,9999827461,9999822909,34
docs/inst_test/instancias/n_1000_1,100,10,15,10,0.2000,202,9994827117,9994822716,35
docs/inst_test/instancias/n_1000_1,100,10,15,10,0.3000,4,9994827139,9994822678,31
docs/inst_test/instancias/n_1000_1,100,10,15,20,0.1000,4,9994297160,9994292499,27
docs/inst_test/instancias/n_1000_1,100,10,15,10,0.3000,202,9999886847,9999883349,31
docs/inst_test/instancias/n_1000_1,100,10,15,10,0.3000,12,9989826789,9989822344,38
docs/inst_test/instancias/n_1000_1,100,10,15,20,0.1000,12,9993297100,9993292455,31
docs/inst_test/instancias/n_1000_1,100,10,15,20,0.1000,202,9991296961,9991292372,65
docs/inst_test/instancias/n_1000_1,100,10,15,20,0.2000,4,9989296870,9989292248,68
docs/inst_test/instancias/n_1000_1,100,10,15,20,0.2000,12,9999827461,9999822909,87
docs/inst_test/instancias/n_1000_1,100,10,15,20,0.3000,12,9989826789,9989822344,83
docs/inst_test/instancias/n_1000_1,100,10,15,20,0.3000,202,9999357275,9999353107,85
docs/inst_test/instancias/n_1000_1,100,15,7,5,0.1000,4,9995297223,9995292560,86
docs/inst_test/instancias/n_1000_1,100,10,15,20,0.2000,202,9994827117,9994822716,100
docs/inst_test/instancias/n_1000_1,100,10,15,20,0.3000,4,9994827139,9994822678,99
docs/inst_test/instancias/n_1000_1,100,15,7,5,0.1000,202,9992297061,9992292379,49
docs/inst_test/instancias/n_1000_1,100,15,7,5,0.2000,4,9992827053,9992822527,31
docs/inst_test/instancias/n_1000_1,100,15,7,5,0.1000,12,9996297291,9996292580,65
docs/inst_test/instancias/n_1000_1,100,15,7,5,0.2000,12,9999827461,9999822909,32
docs/inst_test/instancias/n_1000_1,100,15,7,5,0.3000,202,9999887011,9999883425,27
docs/inst_test/instancias/n_1000_1,100,15,7,5,0.3000,4,9994827139,9994822678,36
docs/inst_test/instancias/n_1000_1,100,15,7,5,0.2000,202,9994827117,9994822716,40
docs/inst_test/instancias/n_1000_1,100,15,7,5,0.3000,12,9990356462,9990352483,40
docs/inst_test/instancias/n_1000_1,100,15,7,10,0.1000,4,9995296915,9995292252,35
docs/inst_test/instancias/n_1000_1,100,15,7,10,0.1000,202,9991296961,9991292372,32
docs/inst_test/instancias/n_1000_1,100,15,7,10,0.2000,4,9992827022,9992822537,39
docs/inst_test/instancias/n_1000_1,100,15,7,10,0.3000,12,9989826789,9989822344,32
docs/inst_test/instancias/n_1000_1,100,15,7,10,0.1000,12,9993297100,9993292455,58
docs/inst_test/instancias/n_1000_1,100,15,7,10,0.2000,12,9999827461,9999822909,40
docs/inst_test/instancias/n_1000_1,100,15,7,10,0.3000,202,9999886847,9999883349,36
docs/inst_test/instancias/n_1000_1,100,15,7,10,0.2000,202,9994827117,9994822716,46
docs/inst_test/instancias/n_1000_1,100,15,7,10,0.3000,4,9994827139,9994822678,47
docs/inst_test/instancias/n_1000_1,100,15,7,20,0.1000,4,9994297160,9994292499,105
docs/inst_test/instancias/n_1000_1,100,15,7,20,0.2000,202,9994827117,9994822716,81
docs/inst_test/instancias/n_1000_1,100,15,7,20,0.2000,4,9989296870,9989292248,90
docs/inst_test/instancias/n_1000_1,100,15,7,20,0.1000,12,9993297100,9993292455,105
docs/inst_test/instancias/n_1000_1,100,15,7,20,0.3000,12,9989826789,9989822344,99
